01/22/2015-11:50:51.311393  [**] [1:2225006:1] SURICATA SMB file overlap [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.16:445 -> 175.45.176.3:42254
01/22/2015-11:50:43.096034  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.3:21 -> 59.166.0.0:36184
01/22/2015-11:50:43.231991  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.1:21 -> 59.166.0.7:27122
01/22/2015-11:50:43.298216  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:25 -> 59.166.0.4:15925
01/22/2015-11:50:43.275083  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.7:25 -> 59.166.0.4:59971
01/22/2015-11:50:43.364176  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.1:25 -> 59.166.0.4:28756
01/22/2015-11:50:43.373422  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:21 -> 59.166.0.6:54406
01/22/2015-11:50:43.373984  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.6:143 -> 59.166.0.1:33095
01/22/2015-11:50:43.376185  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.0:21 -> 59.166.0.8:9989
01/22/2015-11:50:43.348100  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.1:21 -> 59.166.0.1:26025
01/22/2015-11:50:43.365985  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.2:143 -> 59.166.0.2:17787
01/22/2015-11:50:43.376079  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.6:21 -> 59.166.0.5:43388
01/22/2015-11:50:43.098046  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.5:143 -> 59.166.0.2:39249
01/22/2015-11:50:43.415108  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.1:143 -> 59.166.0.7:21797
01/22/2015-11:50:43.379077  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.2:25 -> 59.166.0.7:39029
01/22/2015-11:50:43.470086  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.5:25 -> 59.166.0.8:57582
01/22/2015-11:50:43.215032  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:143 -> 59.166.0.5:15833
01/22/2015-11:50:43.237290  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:143 -> 59.166.0.4:35345
01/22/2015-11:50:43.264186  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.1:25 -> 59.166.0.9:45285
01/22/2015-11:50:43.276996  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.7:21 -> 59.166.0.8:39267
01/22/2015-11:50:43.353166  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.4:25 -> 59.166.0.4:21506
01/22/2015-11:50:43.584964  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.1:21 -> 59.166.0.4:59085
01/22/2015-11:50:43.633042  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.6:21 -> 59.166.0.4:47772
01/22/2015-11:50:43.665605  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.6:25 -> 59.166.0.6:8196
01/22/2015-11:50:43.740160  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.5:25 -> 59.166.0.7:42953
01/22/2015-11:50:43.707154  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.2:25 -> 59.166.0.2:65106
01/22/2015-11:50:43.854032  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:25 -> 59.166.0.9:16096
01/22/2015-11:50:43.940049  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.5:25 -> 59.166.0.5:57860
01/22/2015-11:50:43.885023  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.2:25 -> 59.166.0.8:4936
01/22/2015-11:50:43.986366  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.3:25 -> 59.166.0.2:55284
01/22/2015-11:50:44.427004  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.2:143 -> 59.166.0.4:2893
01/22/2015-11:50:44.501161  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.7:25 -> 59.166.0.7:20435
01/22/2015-11:50:45.366934  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.3:21 -> 59.166.0.3:51467
01/22/2015-11:50:46.302246  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.3:21 -> 59.166.0.1:58588
01/22/2015-11:50:46.718061  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.5:25 -> 59.166.0.9:46662
01/22/2015-11:50:47.679667  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.0:143 -> 59.166.0.0:61305
01/22/2015-11:50:47.777537  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.7:143 -> 59.166.0.6:6138
01/22/2015-11:50:48.900162  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.12:25 -> 175.45.176.0:55659
01/22/2015-11:50:49.320752  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.2:143 -> 59.166.0.0:50436
01/22/2015-11:50:50.213513  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.7:25 -> 59.166.0.1:55732
01/22/2015-11:50:50.221416  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.12:25 -> 175.45.176.0:56253
01/22/2015-11:50:50.331652  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.5:25 -> 59.166.0.5:60540
01/22/2015-11:50:50.357630  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.1:25 -> 59.166.0.6:12301
01/22/2015-11:50:50.784140  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.6:25 -> 59.166.0.4:14049
01/22/2015-11:50:51.128953  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:25 -> 59.166.0.0:64753
01/22/2015-11:50:51.194717  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.1:143 -> 59.166.0.0:21008
01/22/2015-11:50:51.369165  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.14:25 -> 175.45.176.2:21424
01/22/2015-11:50:51.451639  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.2:143 -> 59.166.0.1:7025
01/22/2015-11:50:52.523098  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.7:143 -> 59.166.0.1:55263
01/22/2015-11:50:52.543059  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.3:21 -> 59.166.0.9:18836
01/22/2015-11:50:53.497725  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.7:25 -> 59.166.0.2:41067
01/22/2015-11:50:53.571897  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.0:21 -> 59.166.0.2:42194
01/22/2015-11:50:54.109573  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.3:25 -> 59.166.0.7:39700
01/22/2015-11:50:55.018996  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.0:21 -> 59.166.0.4:43989
01/22/2015-11:50:56.208729  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:25 -> 59.166.0.0:7053
01/22/2015-11:50:56.836701  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.9:143 -> 59.166.0.0:43947
01/22/2015-11:50:56.853809  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.3:25 -> 59.166.0.7:12384
01/22/2015-11:50:57.231720  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.3:25 -> 59.166.0.3:12034
01/22/2015-11:50:57.310923  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.6:21 -> 59.166.0.2:16283
01/22/2015-11:50:57.417265  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.16:110 -> 175.45.176.1:50185
01/22/2015-11:50:57.606848  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.4:143 -> 59.166.0.6:58437
01/22/2015-11:50:57.623144  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.9:21 -> 59.166.0.6:24124
01/22/2015-11:50:58.457046  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.2:21 -> 59.166.0.3:48723
01/22/2015-11:50:59.014187  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:143 -> 59.166.0.8:39939
01/22/2015-11:50:59.034833  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.2:25 -> 59.166.0.4:60730
01/22/2015-11:50:59.536781  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.4:25 -> 59.166.0.4:23121
01/22/2015-11:51:00.940847  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.3:25 -> 59.166.0.3:31464
01/22/2015-11:51:01.960756  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.2:25 -> 59.166.0.2:33704
01/22/2015-11:51:02.326095  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.2:143 -> 59.166.0.9:44835
01/22/2015-11:51:02.390295  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.5:25 -> 59.166.0.8:3309
01/22/2015-11:51:03.439213  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.15:110 -> 175.45.176.2:7371
01/22/2015-11:51:03.526128  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:25 -> 59.166.0.6:32697
01/22/2015-11:51:03.524276  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.3:21 -> 59.166.0.2:28018
01/22/2015-11:51:04.025881  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:25 -> 59.166.0.8:6835
01/22/2015-11:51:04.125852  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.4:143 -> 59.166.0.6:15816
01/22/2015-11:51:04.550440  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.13:110 -> 175.45.176.0:40411
01/22/2015-11:51:05.325770  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:21 -> 59.166.0.0:31222
01/22/2015-11:51:05.508150  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.2:21 -> 59.166.0.9:51072
01/22/2015-11:51:05.684178  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:21 -> 59.166.0.6:2440
01/22/2015-11:51:06.310178  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.7:21 -> 59.166.0.4:14087
01/22/2015-11:51:06.337110  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.0:21 -> 59.166.0.5:7839
01/22/2015-11:51:06.325866  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.0:25 -> 59.166.0.4:37399
01/22/2015-11:51:06.778255  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.7:21 -> 59.166.0.8:4427
01/22/2015-11:51:07.121159  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.4:21 -> 59.166.0.2:26981
01/22/2015-11:51:07.426367  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.2:25 -> 59.166.0.7:46321
01/22/2015-11:51:07.625922  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.0:25 -> 59.166.0.9:43562
01/22/2015-11:51:08.266191  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.6:21 -> 59.166.0.4:65169
01/22/2015-11:51:08.138972  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:25 -> 59.166.0.7:12883
01/22/2015-11:51:08.646942  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.4:25 -> 59.166.0.3:59335
01/22/2015-11:51:09.009960  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:25 -> 59.166.0.3:27797
01/22/2015-11:51:10.126628  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.2:25 -> 59.166.0.8:58411
